"ID"	"Product"	"Rank"
"1"	1	"G"	1
"2"	1	"B"	5
"3"	1	"N"	3
"4"	1	"P"	2
"5"	1	"M"	4
"6"	2	"G"	4
"7"	2	"B"	3
"8"	2	"N"	1
"9"	2	"P"	2
"10"	2	"M"	5
"11"	3	"G"	1
"12"	3	"B"	4
"13"	3	"N"	3
"14"	3	"P"	2
"15"	3	"M"	5
"16"	4	"G"	5
"17"	4	"B"	1
"18"	4	"N"	2
"19"	4	"P"	3
"20"	4	"M"	4
"21"	5	"G"	5
"22"	5	"B"	3
"23"	5	"N"	2
"24"	5	"P"	1
"25"	5	"M"	4
"26"	6	"G"	4
"27"	6	"B"	1
"28"	6	"N"	5
"29"	6	"P"	2
"30"	6	"M"	3
"31"	7	"G"	2
"32"	7	"B"	1
"33"	7	"N"	4
"34"	7	"P"	3
"35"	7	"M"	5
"36"	8	"G"	1
"37"	8	"B"	4
"38"	8	"N"	5
"39"	8	"P"	2
"40"	8	"M"	3
"41"	9	"G"	3
"42"	9	"B"	1
"43"	9	"N"	2
"44"	9	"P"	5
"45"	9	"M"	4
"46"	10	"G"	1
"47"	10	"B"	4
"48"	10	"N"	2
"49"	10	"P"	5
"50"	10	"M"	3
"51"	11	"G"	2
"52"	11	"B"	1
"53"	11	"N"	3
"54"	11	"P"	5
"55"	11	"M"	4
"56"	12	"G"	2
"57"	12	"B"	5
"58"	12	"N"	4
"59"	12	"P"	3
"60"	12	"M"	1
"61"	13	"G"	4
"62"	13	"B"	2.5
"63"	13	"N"	1
"64"	13	"P"	2.5
"65"	13	"M"	5
"66"	14	"G"	4
"67"	14	"B"	2
"68"	14	"N"	1
"69"	14	"P"	3
"70"	14	"M"	5
"71"	15	"G"	2
"72"	15	"B"	1
"73"	15	"N"	4
"74"	15	"P"	3
"75"	15	"M"	5
"76"	16	"G"	3
"77"	16	"B"	1
"78"	16	"N"	2
"79"	16	"P"	4
"80"	16	"M"	5
"81"	17	"G"	3
"82"	17	"B"	4
"83"	17	"N"	2
"84"	17	"P"	1
"85"	17	"M"	5
"86"	18	"G"	1
"87"	18	"B"	2
"88"	18	"N"	4
"89"	18	"P"	3
"90"	18	"M"	5
"91"	19	"G"	2
"92"	19	"B"	1
"93"	19	"N"	4
"94"	19	"P"	3
"95"	19	"M"	5
"96"	20	"G"	1
"97"	20	"B"	3
"98"	20	"N"	4
"99"	20	"P"	5
"100"	20	"M"	2
"101"	21	"G"	1
"102"	21	"B"	3
"103"	21	"N"	4
"104"	21	"P"	2
"105"	21	"M"	5
"106"	22	"G"	1
"107"	22	"B"	2
"108"	22	"N"	3
"109"	22	"P"	5
"110"	22	"M"	4
"111"	23	"G"	2
"112"	23	"B"	4
"113"	23	"N"	3
"114"	23	"P"	1
"115"	23	"M"	5
"116"	24	"G"	1
"117"	24	"B"	4
"118"	24	"N"	5
"119"	24	"P"	2
"120"	24	"M"	3
"121"	25	"G"	5
"122"	25	"B"	2
"123"	25	"N"	3
"124"	25	"P"	4
"125"	25	"M"	1
"126"	26	"G"	1
"127"	26	"B"	4
"128"	26	"N"	3
"129"	26	"P"	2
"130"	26	"M"	5
"131"	27	"G"	3
"132"	27	"B"	1
"133"	27	"N"	4
"134"	27	"P"	2
"135"	27	"M"	5
"136"	28	"G"	1
"137"	28	"B"	3
"138"	28	"N"	2
"139"	28	"P"	4
"140"	28	"M"	5
"141"	29	"G"	1
"142"	29	"B"	2
"143"	29	"N"	4
"144"	29	"P"	3
"145"	29	"M"	5
"146"	30	"G"	2
"147"	30	"B"	1
"148"	30	"N"	3
"149"	30	"P"	4
"150"	30	"M"	5
"151"	31	"G"	3
"152"	31	"B"	5
"153"	31	"N"	1
"154"	31	"P"	2
"155"	31	"M"	4
"156"	32	"G"	1
"157"	32	"B"	2
"158"	32	"N"	4
"159"	32	"P"	5
"160"	32	"M"	3
"161"	33	"G"	3
"162"	33	"B"	1
"163"	33	"N"	2
"164"	33	"P"	4
"165"	33	"M"	5
"166"	34	"G"	4
"167"	34	"B"	2
"168"	34	"N"	1
"169"	34	"P"	3
"170"	34	"M"	5
"171"	35	"G"	3
"172"	35	"B"	4
"173"	35	"N"	1
"174"	35	"P"	5
"175"	35	"M"	2
"176"	36	"G"	3
"177"	36	"B"	1
"178"	36	"N"	4
"179"	36	"P"	2
"180"	36	"M"	5
"181"	37	"G"	3
"182"	37	"B"	2
"183"	37	"N"	1
"184"	37	"P"	4
"185"	37	"M"	5
"186"	38	"G"	4
"187"	38	"B"	1
"188"	38	"N"	5
"189"	38	"P"	3
"190"	38	"M"	2
"191"	39	"G"	4
"192"	39	"B"	1
"193"	39	"N"	3
"194"	39	"P"	5
"195"	39	"M"	2
"196"	40	"G"	2
"197"	40	"B"	1
"198"	40	"N"	3
"199"	40	"P"	5
"200"	40	"M"	4
"201"	41	"G"	1
"202"	41	"B"	5
"203"	41	"N"	2
"204"	41	"P"	3
"205"	41	"M"	4
"206"	42	"G"	3
"207"	42	"B"	4
"208"	42	"N"	1
"209"	42	"P"	2
"210"	42	"M"	5
"211"	43	"G"	3
"212"	43	"B"	4
"213"	43	"N"	1
"214"	43	"P"	2
"215"	43	"M"	5
"216"	44	"G"	1
"217"	44	"B"	3
"218"	44	"N"	4
"219"	44	"P"	5
"220"	44	"M"	2
"221"	45	"G"	3
"222"	45	"B"	5
"223"	45	"N"	2
"224"	45	"P"	4
"225"	45	"M"	1
"226"	46	"G"	1
"227"	46	"B"	4
"228"	46	"N"	3
"229"	46	"P"	2
"230"	46	"M"	5
"231"	47	"G"	1
"232"	47	"B"	2
"233"	47	"N"	4
"234"	47	"P"	3
"235"	47	"M"	5
"236"	48	"G"	2
"237"	48	"B"	4
"238"	48	"N"	1
"239"	48	"P"	3
"240"	48	"M"	5
"241"	49	"G"	1
"242"	49	"B"	2
"243"	49	"N"	3
"244"	49	"P"	4
"245"	49	"M"	5
"246"	50	"G"	5
"247"	50	"B"	1
"248"	50	"N"	3
"249"	50	"P"	2
"250"	50	"M"	4
"251"	51	"G"	2
"252"	51	"B"	3
"253"	51	"N"	1
"254"	51	"P"	4
"255"	51	"M"	5
"256"	52	"G"	2
"257"	52	"B"	5
"258"	52	"N"	1
"259"	52	"P"	4
"260"	52	"M"	3
"261"	53	"G"	4
"262"	53	"B"	1
"263"	53	"N"	2
"264"	53	"P"	3
"265"	53	"M"	5
"266"	54	"G"	1
"267"	54	"B"	4
"268"	54	"N"	3
"269"	54	"P"	2
"270"	54	"M"	5
"271"	55	"G"	2
"272"	55	"B"	1
"273"	55	"N"	4
"274"	55	"P"	3
"275"	55	"M"	5
"276"	56	"G"	3
"277"	56	"B"	2
"278"	56	"N"	1
"279"	56	"P"	4
"280"	56	"M"	5
"281"	57	"G"	2
"282"	57	"B"	1
"283"	57	"N"	4
"284"	57	"P"	3
"285"	57	"M"	5
"286"	58	"G"	5
"287"	58	"B"	1
"288"	58	"N"	4
"289"	58	"P"	3
"290"	58	"M"	2
"291"	59	"G"	4
"292"	59	"B"	1
"293"	59	"N"	2
"294"	59	"P"	3
"295"	59	"M"	5
"296"	60	"G"	4
"297"	60	"B"	1
"298"	60	"N"	2
"299"	60	"P"	3
"300"	60	"M"	5
"301"	61	"G"	2
"302"	61	"B"	3
"303"	61	"N"	5
"304"	61	"P"	1
"305"	61	"M"	4
"306"	62	"G"	3
"307"	62	"B"	2
"308"	62	"N"	5
"309"	62	"P"	1
"310"	62	"M"	4
"311"	63	"G"	5
"312"	63	"B"	4
"313"	63	"N"	3
"314"	63	"P"	2
"315"	63	"M"	1
"316"	64	"G"	1
"317"	64	"B"	4
"318"	64	"N"	3
"319"	64	"P"	2
"320"	64	"M"	5
"321"	65	"G"	2
"322"	65	"B"	1
"323"	65	"N"	4
"324"	65	"P"	5
"325"	65	"M"	3
"326"	66	"G"	2
"327"	66	"B"	4
"328"	66	"N"	1
"329"	66	"P"	3
"330"	66	"M"	5
"331"	67	"G"	1
"332"	67	"B"	3
"333"	67	"N"	5
"334"	67	"P"	2
"335"	67	"M"	4
"336"	68	"G"	2
"337"	68	"B"	1
"338"	68	"N"	4
"339"	68	"P"	3
"340"	68	"M"	5
"341"	69	"G"	1
"342"	69	"B"	2
"343"	69	"N"	4
"344"	69	"P"	3
"345"	69	"M"	5
"346"	70	"G"	3
"347"	70	"B"	2
"348"	70	"N"	1
"349"	70	"P"	4
"350"	70	"M"	5
"351"	71	"G"	4
"352"	71	"B"	5
"353"	71	"N"	2
"354"	71	"P"	1
"355"	71	"M"	3
"356"	72	"G"	1
"357"	72	"B"	5
"358"	72	"N"	3
"359"	72	"P"	4
"360"	72	"M"	2
"361"	73	"G"	1
"362"	73	"B"	3
"363"	73	"N"	4
"364"	73	"P"	2
"365"	73	"M"	5
"366"	74	"G"	2
"367"	74	"B"	1
"368"	74	"N"	3
"369"	74	"P"	4
"370"	74	"M"	5
"371"	75	"G"	3
"372"	75	"B"	2
"373"	75	"N"	4
"374"	75	"P"	1
"375"	75	"M"	5
"376"	76	"G"	3
"377"	76	"B"	1
"378"	76	"N"	2
"379"	76	"P"	4
"380"	76	"M"	5
"381"	77	"G"	1
"382"	77	"B"	4
"383"	77	"N"	2
"384"	77	"P"	3
"385"	77	"M"	5
"386"	78	"G"	3
"387"	78	"B"	5
"388"	78	"N"	4
"389"	78	"P"	1
"390"	78	"M"	2
"391"	79	"G"	1
"392"	79	"B"	3
"393"	79	"N"	4
"394"	79	"P"	2
"395"	79	"M"	5
"396"	80	"G"	1
"397"	80	"B"	3
"398"	80	"N"	4
"399"	80	"P"	5
"400"	80	"M"	2
"401"	81	"G"	1
"402"	81	"B"	3
"403"	81	"N"	4
"404"	81	"P"	2
"405"	81	"M"	5
"406"	82	"G"	4
"407"	82	"B"	3
"408"	82	"N"	1.5
"409"	82	"P"	1.5
"410"	82	"M"	5
"411"	83	"G"	1
"412"	83	"B"	2
"413"	83	"N"	4
"414"	83	"P"	3
"415"	83	"M"	5
"416"	84	"G"	4
"417"	84	"B"	5
"418"	84	"N"	1
"419"	84	"P"	2
"420"	84	"M"	3
"421"	85	"G"	1
"422"	85	"B"	5
"423"	85	"N"	2
"424"	85	"P"	3
"425"	85	"M"	4
"426"	86	"G"	1
"427"	86	"B"	4
"428"	86	"N"	2
"429"	86	"P"	3
"430"	86	"M"	5
"431"	87	"G"	3.5
"432"	87	"B"	1
"433"	87	"N"	5
"434"	87	"P"	2
"435"	87	"M"	3.5
"436"	88	"G"	1
"437"	88	"B"	4
"438"	88	"N"	2
"439"	88	"P"	5
"440"	88	"M"	3
"441"	89	"G"	3
"442"	89	"B"	1
"443"	89	"N"	5
"444"	89	"P"	2
"445"	89	"M"	4
"446"	90	"G"	2
"447"	90	"B"	1
"448"	90	"N"	3
"449"	90	"P"	4
"450"	90	"M"	5
"451"	91	"G"	2
"452"	91	"B"	3
"453"	91	"N"	1
"454"	91	"P"	4
"455"	91	"M"	5
"456"	92	"G"	3
"457"	92	"B"	1
"458"	92	"N"	4
"459"	92	"P"	2
"460"	92	"M"	5
"461"	93	"G"	1
"462"	93	"B"	2
"463"	93	"N"	5
"464"	93	"P"	3
"465"	93	"M"	4
"466"	94	"G"	3
"467"	94	"B"	1
"468"	94	"N"	2
"469"	94	"P"	4
"470"	94	"M"	5
"471"	95	"G"	3
"472"	95	"B"	1
"473"	95	"N"	5
"474"	95	"P"	2
"475"	95	"M"	4
"476"	96	"G"	1.5
"477"	96	"B"	5
"478"	96	"N"	3
"479"	96	"P"	4
"480"	96	"M"	1.5
"481"	97	"G"	1
"482"	97	"B"	4
"483"	97	"N"	3
"484"	97	"P"	2
"485"	97	"M"	5
"486"	98	"G"	3
"487"	98	"B"	2
"488"	98	"N"	1
"489"	98	"P"	5
"490"	98	"M"	4
"491"	99	"G"	2
"492"	99	"B"	1
"493"	99	"N"	3
"494"	99	"P"	4
"495"	99	"M"	5
"496"	100	"G"	2
"497"	100	"B"	4
"498"	100	"N"	3
"499"	100	"P"	1
"500"	100	"M"	5
"501"	101	"G"	1
"502"	101	"B"	3
"503"	101	"N"	2
"504"	101	"P"	4
"505"	101	"M"	5
"506"	102	"G"	5
"507"	102	"B"	1
"508"	102	"N"	2
"509"	102	"P"	3
"510"	102	"M"	4
"511"	103	"G"	3
"512"	103	"B"	1
"513"	103	"N"	4
"514"	103	"P"	2
"515"	103	"M"	5
"516"	104	"G"	2
"517"	104	"B"	4
"518"	104	"N"	3
"519"	104	"P"	1
"520"	104	"M"	5
"521"	105	"G"	5
"522"	105	"B"	2
"523"	105	"N"	1
"524"	105	"P"	3.5
"525"	105	"M"	3.5
"526"	106	"G"	3
"527"	106	"B"	1
"528"	106	"N"	2
"529"	106	"P"	4
"530"	106	"M"	5
"531"	107	"G"	1.5
"532"	107	"B"	5
"533"	107	"N"	1.5
"534"	107	"P"	3
"535"	107	"M"	4
"536"	108	"G"	2
"537"	108	"B"	1
"538"	108	"N"	3
"539"	108	"P"	4
"540"	108	"M"	5
"541"	109	"G"	1
"542"	109	"B"	4
"543"	109	"N"	2
"544"	109	"P"	3
"545"	109	"M"	5
"546"	110	"G"	1
"547"	110	"B"	4
"548"	110	"N"	2
"549"	110	"P"	3
"550"	110	"M"	5
"551"	111	"G"	2
"552"	111	"B"	1
"553"	111	"N"	3
"554"	111	"P"	4
"555"	111	"M"	5
"556"	112	"G"	1.5
"557"	112	"B"	1.5
"558"	112	"N"	3
"559"	112	"P"	4
"560"	112	"M"	5
"561"	113	"G"	2
"562"	113	"B"	3
"563"	113	"N"	1
"564"	113	"P"	4
"565"	113	"M"	5
"566"	114	"G"	3
"567"	114	"B"	1
"568"	114	"N"	5
"569"	114	"P"	2
"570"	114	"M"	4
"571"	115	"G"	1
"572"	115	"B"	4
"573"	115	"N"	3
"574"	115	"P"	5
"575"	115	"M"	2
"576"	116	"G"	1
"577"	116	"B"	3
"578"	116	"N"	4
"579"	116	"P"	2
"580"	116	"M"	5
"581"	117	"G"	1
"582"	117	"B"	2
"583"	117	"N"	5
"584"	117	"P"	3
"585"	117	"M"	4
"586"	118	"G"	1
"587"	118	"B"	3
"588"	118	"N"	2
"589"	118	"P"	4
"590"	118	"M"	5
"591"	119	"G"	5
"592"	119	"B"	4
"593"	119	"N"	1
"594"	119	"P"	2
"595"	119	"M"	3
"596"	120	"G"	4
"597"	120	"B"	1
"598"	120	"N"	5
"599"	120	"P"	3
"600"	120	"M"	2
"601"	121	"G"	4
"602"	121	"B"	2
"603"	121	"N"	1
"604"	121	"P"	3
"605"	121	"M"	5
"606"	122	"G"	2
"607"	122	"B"	1
"608"	122	"N"	3
"609"	122	"P"	4
"610"	122	"M"	5
"611"	123	"G"	1
"612"	123	"B"	5
"613"	123	"N"	3
"614"	123	"P"	2
"615"	123	"M"	4
"616"	124	"G"	3
"617"	124	"B"	5
"618"	124	"N"	1
"619"	124	"P"	2
"620"	124	"M"	4
"621"	125	"G"	4
"622"	125	"B"	1
"623"	125	"N"	2
"624"	125	"P"	3
"625"	125	"M"	5
